"Component","Version","Latest version","Component type","License","License type","Vulnerability count","Object compilation date","Object","Object full path","Object SHA1","Distribution package","Missing exploit mitigations"
"jar-dependencies","0.3.12","0.4.1","ruby","MIT","permissive","0","2018-04-20T13:25:44Z","jar-dependencies-0.3.12.gemspec","webgoat-server-8.1.0.jar:BOOT-INF/lib/jruby-complete-9.1.17.0.jar:META-INF/jruby.home/lib/ruby/gems/shared/specifications/default/jar-dependencies-0.3.12.gemspec","94b0067cca45138cb378d37d3a611970f36dcbce","",""
"javassist","3.24.0-GA","3.28.0-GA","java","Apache","permissive","0","2018-11-01T17:16:36Z","javassist-3.24.0-GA.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/javassist-3.24.0-GA.jar","d7466fc2e3af7c023e95c510f06448ad29b225b3","",""
"jaxb","2.3.2","3.0.2","java","CDDL","weakcopyleft","0","2019-01-02T15:19:42Z","jaxb-runtime-2.3.2.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jaxb-runtime-2.3.2.jar:com/sun/xml/bind","5528bc882ea499a09d720b42af11785c4fc6be2a","",""
"jaxb-api","2.3.1","2.3.1","java","BSD","permissive","0","2018-09-12T06:28:30Z","jaxb-api-2.3.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jaxb-api-2.3.1.jar","8531ad5ac454cc2deb9d4d32c40c4d7451939b5d","",""
"jaxb-runtime","2.3.2","3.0.2","java","EPL-2.0","copyleft","0","2019-01-02T15:19:42Z","jaxb-runtime-2.3.2.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jaxb-runtime-2.3.2.jar","5528bc882ea499a09d720b42af11785c4fc6be2a","",""
"jboss-annotations-api_1.2_spec","1.0.2.Final","1.0.2","java","GPL-classpath","permissive","0","2018-01-17T13:26:32Z","jboss-annotations-api_1.2_spec-1.0.2.Final.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jboss-annotations-api_1.2_spec-1.0.2.Final.jar","0d6b20c0e95c5b38f313cc2ab1a55560cedabe1f","",""
"jboss-logging","3.4.1.Final","3.4.3.Final","java","Apache","permissive","0","2019-08-07T08:08:16Z","jboss-logging-3.4.1.Final.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jboss-logging-3.4.1.Final.jar","40fd4d696c55793e996d1ff3c475833f836c2498","",""
"jboss-websocket-api_1.1_spec","1.1.4.Final","2.0.0","java","EPL-2.0","copyleft","0","2019-05-23T23:29:52Z","jboss-websocket-api_1.1_spec-1.1.4.Final.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jboss-websocket-api_1.1_spec-1.1.4.Final.jar","1b2cbb00b4dd2f4655eadd8c8346231282578563","",""
"jcodings","1.0.27","1.0.55","java","MIT","permissive","0","2012-04-07T12:49:08Z","jruby-complete-9.1.17.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jruby-complete-9.1.17.0.jar","76716d529710fc03d1d429b43e3cedd4419f78d4","",""
"jcommander","1.35","1.82","java","Apache","permissive","0","2014-02-22T09:29:56Z","jcommander-1.35.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jcommander-1.35.jar","47592e181b0bdbbeb63029e08c5e74f6803c4edd","",""
